date,GOOGLSMA,GOOGLClose,EBAYSMA,EBAYClose
2019-12-27 09:55:00,1357.8941,1388.48,36.3466,35.73
2019-12-27 10:00:00,1357.9458,1389.69,36.3438,35.76
2019-12-27 10:05:00,1358.005,1390.7,36.3417,35.762
2019-12-27 10:10:00,1358.0738,1392.98,36.3388,35.775
2019-12-27 10:15:00,1358.1439,1393.14,36.3362,35.765
2019-12-27 10:20:00,1358.2211,1392.17,36.3335,35.74
2019-12-27 10:25:00,1358.3108,1392.7473,36.3308,35.74
2019-12-27 10:30:00,1358.3878,1393.24,36.3283,35.73
2019-12-27 10:35:00,1358.4716,1393.675,36.3251,35.75
2019-12-27 10:40:00,1358.5596,1393.2,36.3224,35.76
2019-12-27 10:45:00,1358.6723,1392.9,36.3203,35.765
2019-12-27 10:50:00,1358.8120000000001,1392.63,36.3186,35.78
2019-12-27 10:55:00,1358.9597,1391.08,36.3173,35.705
2019-12-27 11:00:00,1359.1229999999998,1392.3,36.3153,35.68
2019-12-27 11:05:00,1359.2877,1391.72,36.3137,35.71
2019-12-27 11:10:00,1359.43,1393.1982,36.3125,35.7199
2019-12-27 11:15:00,1359.5617,1393.875,36.3108,35.685
2019-12-27 11:20:00,1359.6839,1390.0557,36.3088,35.64
2019-12-27 11:25:00,1359.8010000000002,1391.155,36.3071,35.64
2019-12-27 11:30:00,1359.8948,1392.77,36.3057,35.62
2019-12-27 11:35:00,1359.9742,1396.4187,36.3046,35.585
2019-12-27 11:40:00,1360.0539,1395.1852,36.3036,35.5363
2019-12-27 11:45:00,1360.1407,1390.9399,36.3028,35.54
2019-12-27 11:50:00,1360.2022,1386.73,36.3011,35.52
2019-12-27 11:55:00,1360.2351,1384.4399,36.3001,35.5415
2019-12-27 12:00:00,1360.2566,1379.24,36.2988,35.5
2019-12-27 12:05:00,1360.2920000000001,1377.595,36.2971,35.475
2019-12-27 12:10:00,1360.2906,1373.7747,36.2946,35.465
2019-12-27 12:15:00,1360.2853,1370.09,36.2922,35.6011
2019-12-27 12:20:00,1360.2834,1366.92,36.2903,35.55
2019-12-27 12:25:00,1360.2344,1364.12,36.2883,35.655
2019-12-27 12:30:00,1360.1582,1360.4,36.2852,35.96
2019-12-27 12:35:00,1360.0855,1362.27,36.2824,35.98
2019-12-27 12:40:00,1360.0182,1363.84,36.2801,35.895
2019-12-27 12:45:00,1359.9432,1364.3,36.2779,35.895
2019-12-27 12:50:00,1359.8925,1364.99,36.2764,35.86
2019-12-27 12:55:00,1359.8552,1363.78,36.2748,35.89
2019-12-27 13:00:00,1359.8307,1365.235,36.2733,35.91
2019-12-27 13:05:00,1359.8239,1364.67,36.2724,35.9
2019-12-27 13:10:00,1359.8325,1366.2834,36.2716,35.945
2019-12-27 13:15:00,1359.8221,1366.42,36.2708,35.95
2019-12-27 13:20:00,1359.8135,1366.67,36.2697,35.955
2019-12-27 13:25:00,1359.8175,1368.525,36.2689,35.965
2019-12-27 13:30:00,1359.7947,1367.58,36.2675,35.96
2019-12-27 13:35:00,1359.7695,1367.24,36.2666,35.915
2019-12-27 13:40:00,1359.7727,1366.76,36.2666,35.92
2019-12-27 13:45:00,1359.7622,1366.77,36.2661,35.88
2019-12-27 13:50:00,1359.7527,1367.02,36.2658,35.875
2019-12-27 13:55:00,1359.7215,1365.86,36.265,35.875
2019-12-27 14:00:00,1359.6909,1366.64,36.264,35.87
2019-12-27 14:05:00,1359.6685,1366.63,36.264,35.865
2019-12-27 14:10:00,1359.6168,1366.6088,36.2639,35.88
2019-12-27 14:15:00,1359.5638,1366.495,36.263000000000005,35.88
2019-12-27 14:20:00,1359.5164,1367.27,36.2626,35.89
2019-12-27 14:25:00,1359.4574,1365.9449,36.2624,35.9
2019-12-27 14:30:00,1359.3807,1367.96,36.2616,35.94
2019-12-27 14:35:00,1359.2764,1368.54,36.2605,35.965
2019-12-27 14:40:00,1359.2517,1369.49,36.2597,35.995
2019-12-27 14:45:00,1359.2659,1369.5599,36.2587,35.965
2019-12-27 14:50:00,1359.2897,1367.6942,36.2572,35.9412
2019-12-27 14:55:00,1359.3075,1368.895,36.2571,35.99
2019-12-27 15:00:00,1359.3507,1371.79,36.2578,36.04
2019-12-27 15:05:00,1359.3697,1371.98,36.2571,36.025
2019-12-27 15:10:00,1359.3722,1370.9,36.2565,36.015
2019-12-27 15:15:00,1359.3779,1372.74,36.2554,36.025
2019-12-27 15:20:00,1359.3687,1372.36,36.2542,36.02
2019-12-27 15:25:00,1359.3392,1371.62,36.2529,36.025
2019-12-27 15:30:00,1359.3029999999999,1371.88,36.2513,36.02
2019-12-27 15:35:00,1359.255,1372.64,36.2503,36.035
2019-12-27 15:40:00,1359.2060000000001,1373.13,36.2487,36.035
2019-12-27 15:45:00,1359.1305,1372.42,36.2462,36.05
2019-12-27 15:50:00,1359.001,1372.1899,36.2427,36.04
2019-12-27 15:55:00,1358.9113,1371.96,36.2383,36.02
2019-12-27 16:00:00,1358.7838,1371.895,36.235,36.0
2019-12-30 09:35:00,1358.5772,1370.27,36.2321,35.98
2019-12-30 09:40:00,1358.3018,1369.3483,36.2263,35.98
2019-12-30 09:45:00,1358.0479999999998,1368.91,36.2208,35.985
2019-12-30 09:50:00,1357.7038,1368.5601,36.2134,36.0027
2019-12-30 09:55:00,1357.3726,1367.8676,36.205999999999996,36.02
2019-12-30 10:00:00,1356.9999,1366.42,36.1982,36.02
2019-12-30 10:05:00,1356.6134,1366.47,36.1898,36.0271
2019-12-30 10:10:00,1356.3012,1366.5601,36.1823,35.985
2019-12-30 10:15:00,1355.9174,1367.67,36.173,35.955
2019-12-30 10:20:00,1355.5544,1365.6019,36.1644,35.98
2019-12-30 10:25:00,1355.2388,1365.2249,36.1552,35.985
2019-12-30 10:30:00,1354.9281,1365.78,36.1464,35.985
2019-12-30 10:35:00,1354.5758,1367.09,36.137,35.99
2019-12-30 10:40:00,1354.2431,1367.0839999999998,36.1288,35.97
2019-12-30 10:45:00,1353.9033,1366.63,36.121,35.98
2019-12-30 10:50:00,1353.5421,1365.4,36.1125,35.93
2019-12-30 10:55:00,1353.2112,1363.73,36.1049,35.91
2019-12-30 11:00:00,1352.9169,1363.56,36.0982,35.95
2019-12-30 11:05:00,1352.6058,1364.3,36.0917,35.9561
2019-12-30 11:10:00,1352.2688,1366.0334,36.084,35.985
2019-12-30 11:15:00,1351.9846,1366.3199,36.0774,36.01
2019-12-30 11:20:00,1351.6925,1365.3,36.0705,36.0
2019-12-30 11:25:00,1351.4345,1365.997,36.0638,36.0004
2019-12-30 11:30:00,1351.1447,1366.34,36.0569,35.995
2019-12-30 11:35:00,1350.8092,1365.5927,36.049,35.955
2019-12-30 11:40:00,1350.4537,1364.4301,36.041,36.0
2019-12-30 11:45:00,1350.1421,1364.595,36.0332,36.01
2019-12-30 11:50:00,1349.8466,1363.9678,36.0255,35.94
2019-12-30 11:55:00,1349.5271,1363.8861,36.018,35.8913
2019-12-30 12:00:00,1349.2384,1363.36,36.0103,35.87
2019-12-30 12:05:00,1348.9286,1365.16,36.0027,35.84
2019-12-30 12:10:00,1348.6013,1365.89,35.9945,35.905
2019-12-30 12:15:00,1348.2769,1364.0699,35.9866,35.8512
2019-12-30 12:20:00,1347.9513,1358.52,35.979,35.8714
2019-12-30 12:25:00,1347.6219,1359.5392,35.9715,36.0706
2019-12-30 12:30:00,1347.3225,1368.69,35.9646,36.29
2019-12-30 12:35:00,1347.0347,1368.0510000000002,35.9585,36.245
2019-12-30 12:40:00,1346.7507,1365.715,35.9534,36.15
2019-12-30 12:45:00,1346.453,1367.115,35.9485,36.145
2019-12-30 12:50:00,1346.1688,1367.21,35.9437,36.16
2019-12-30 12:55:00,1345.8897,1366.71,35.939,36.175
2019-12-30 13:00:00,1345.6298,1366.95,35.9349,36.19
2019-12-30 13:05:00,1345.3429999999998,1366.46,35.9298,36.21
2019-12-30 13:10:00,1345.0635,1365.345,35.9245,36.2111
2019-12-30 13:15:00,1344.7737,1366.64,35.9199,36.23
2019-12-30 13:20:00,1344.4745,1366.78,35.9156,36.24
2019-12-30 13:25:00,1344.181,1365.87,35.9105,36.25
2019-12-30 13:30:00,1343.8873,1365.01,35.9053,36.24
2019-12-30 13:35:00,1343.6086,1364.9,35.9007,36.25
2019-12-30 13:40:00,1343.3362,1365.45,35.8961,36.285
2019-12-30 13:45:00,1343.0551,1364.66,35.8914,36.285
2019-12-30 13:50:00,1342.7804,1363.5649,35.8857,36.285
2019-12-30 13:55:00,1342.5042,1363.275,35.8804,36.3
2019-12-30 14:00:00,1342.2591,1363.2620000000002,35.8755,36.285
2019-12-30 14:05:00,1342.001,1363.46,35.8704,36.27
